time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.045000,0.308893,-0.000063,0.491072,0.326855,0.000042,0.486848,0.017962,0.000105,-0.004224,0.093781,0.000122,0.204087,-0.079391,0.008115,-4.504096,0.004418,-2.614945,-0.697062,19.664387,0.766921,1.832208,0.000263
0.046000,0.308995,-0.000062,0.491295,0.326855,0.000042,0.486848,0.017860,0.000105,-0.004447,0.097462,0.000163,0.211350,-0.163249,0.007189,-4.671655,0.003767,-2.584026,-0.697556,19.570674,0.766600,1.798912,0.000280
0.047000,0.309102,-0.000060,0.491528,0.326855,0.000042,0.486848,0.017752,0.000103,-0.004680,0.100394,0.000386,0.216458,-0.232642,0.002561,-4.797179,0.002516,-2.562550,-0.698618,19.499230,0.765602,1.772704,0.000294
0.048000,0.309213,-0.000059,0.491772,0.326855,0.000042,0.486848,0.017642,0.000101,-0.004924,0.103487,0.000476,0.225812,-0.305539,0.000589,-5.008608,0.002246,-2.521504,-0.698779,19.387176,0.765163,1.737327,0.000316
0.049000,0.309324,-0.000055,0.492022,0.326855,0.000042,0.486848,0.017531,0.000097,-0.005174,0.105975,0.001586,0.233650,-0.366400,-0.021971,-5.190392,-0.004129,-2.486546,-0.705169,19.290762,0.760472,1.707283,0.000338
0.050000,0.309440,-0.000056,0.492283,0.326855,0.000042,0.486848,0.017415,0.000098,-0.005435,0.108562,0.000887,0.242020,-0.429720,-0.007942,-5.383923,0.000177,-2.449727,-0.700761,19.188643,0.763323,1.675527,0.000359
0.051000,0.309557,-0.000053,0.492550,0.326855,0.000042,0.486848,0.017297,0.000095,-0.005703,0.111119,0.001465,0.250144,-0.492651,-0.019752,-5.573137,-0.003207,-2.412130,-0.704094,19.086811,0.760791,1.644171,0.000375
0.052000,0.309677,-0.000049,0.492832,0.326855,0.000042,0.486848,0.017178,0.000091,-0.005984,0.113896,0.002438,0.261060,-0.560116,-0.039655,-5.819632,-0.008602,-2.364345,-0.709577,18.959177,0.756660,1.606137,0.000407
0.053000,0.309800,-0.000045,0.493122,0.326855,0.000042,0.486848,0.017055,0.000087,-0.006274,0.116734,0.002573,0.268216,-0.629219,-0.042704,-5.991697,-0.009420,-2.333053,-0.710351,18.865335,0.755954,1.575114,0.000428
0.054000,0.309924,-0.000040,0.493418,0.326855,0.000042,0.486848,0.016931,0.000083,-0.006570,0.118932,0.003006,0.276212,-0.685576,-0.051857,-6.181289,-0.011991,-2.297725,-0.712960,18.765925,0.754022,1.544913,0.000457
