time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.055000,0.309835,-0.000044,0.493432,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003002,0.000094,-0.006442,0.116217,0.002859,0.279683,-2.624527,-0.047748,-6.237878,-0.011285,-2.615904,-0.710907,18.501369,0.754860,1.132556,0.000438
0.056000,0.309959,-0.000039,0.493744,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003126,0.000090,-0.006754,0.117578,0.002651,0.288641,-2.664181,-0.044010,-6.448183,-0.010059,-2.574961,-0.709843,18.394638,0.755563,1.103722,0.000462
0.057000,0.310085,-0.000037,0.494057,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003252,0.000088,-0.007067,0.119245,0.002087,0.294469,-2.710068,-0.032978,-6.596049,-0.006725,-2.547953,-0.706354,18.315988,0.757787,1.079858,0.000480
0.058000,0.310212,-0.000034,0.494377,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003379,0.000084,-0.007387,0.121009,0.002888,0.302766,-2.758042,-0.049330,-6.793981,-0.010699,-2.511683,-0.710134,18.214227,0.754480,1.050419,0.000513
0.059000,0.310339,-0.000031,0.494703,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003506,0.000081,-0.007713,0.122458,0.002588,0.307716,-2.799790,-0.043627,-6.925644,-0.008875,-2.486976,-0.708212,18.142767,0.755582,1.028947,0.000521
0.060000,0.310467,-0.000030,0.495038,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003634,0.000080,-0.008048,0.122522,0.002764,0.314961,-2.813803,-0.047262,-7.103973,-0.010999,-2.449688,-0.710699,18.053140,0.754599,1.008312,0.000541
0.061000,0.310598,-0.000027,0.495387,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003765,0.000078,-0.008397,0.124985,0.002738,0.324891,-2.876236,-0.046978,-7.337514,-0.009895,-2.404821,-0.709328,17.929667,0.754631,0.971989,0.000556
0.062000,0.310730,-0.000024,0.495741,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.003897,0.000075,-0.008751,0.126153,0.003059,0.332927,-2.912741,-0.053721,-7.533592,-0.012094,-2.366958,-0.711814,17.828543,0.753082,0.944760,0.000576
0.063000,0.310865,-0.000023,0.496093,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004032,0.000074,-0.009103,0.128352,0.002373,0.339557,-2.970205,-0.040053,-7.701439,-0.008336,-2.337941,-0.707972,17.738191,0.755760,0.916114,0.000598
0.064000,0.311000,-0.000020,0.496459,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004167,0.000071,-0.009469,0.130172,0.002866,0.348530,-3.020107,-0.050246,-7.917450,-0.010514,-2.299603,-0.710220,17.626862,0.753647,0.883921,0.000626
0.065000,0.311137,-0.000021,0.496828,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004304,0.000071,-0.009838,0.132093,0.001921,0.354860,-3.072263,-0.031263,-8.081031,-0.006128,-2.269615,-0.706035,17.537912,0.757242,0.856668,0.000640
0.066000,0.311276,-0.000022,0.497201,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004443,0.000073,-0.010211,0.134145,0.000301,0.362579,-3.127158,0.001284,-8.272669,0.004469,-2.234105,-0.694730,17.434929,0.763936,0.825824,0.000646
0.067000,0.311417,-0.000024,0.497585,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004584,0.000075,-0.010595,0.136088,-0.000288,0.367678,-3.180137,0.013207,-8.413065,0.007123,-2.210490,-0.692168,17.357802,0.766153,0.800758,0.000665
0.068000,0.311559,-0.000025,0.497973,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004726,0.000076,-0.010983,0.138880,-0.002100,0.374688,-3.250221,0.049609,-8.592089,0.016837,-2.178466,-0.682382,17.258001,0.773335,0.768030,0.000677
0.069000,0.311706,-0.000029,0.498379,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.004873,0.000079,-0.011389,0.141889,-0.004098,0.385479,-3.325121,0.089902,-8.848441,0.028083,-2.136572,-0.671439,17.123975,0.781342,0.726066,0.000711
0.070000,0.311856,-0.000028,0.498789,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005023,0.000079,-0.011799,0.144643,-0.002263,0.392475,-3.395181,0.053146,-9.029429,0.018587,-2.106058,-0.680236,17.024320,0.773841,0.693018,0.000743
