time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.043000,0.306673,0.000229,0.486643,0.306723,0.000193,0.486799,0.000050,-0.000036,0.000156,-0.000106,-0.000339,-0.000057,-0.002303,0.000200,-0.007459,0.002939,0.015819,-0.000482,0.052060,-0.007639,0.164758,-0.012126,-0.032316,0.000765,-0.001575,-0.075006,0.006632,0.116731,-0.013727,0.057728,-0.000776
0.044000,0.306671,0.000230,0.486639,0.306723,0.000193,0.486799,0.000052,-0.000037,0.000161,-0.000110,-0.000349,-0.000055,-0.002144,0.001910,-0.006539,0.006658,0.013895,0.000516,0.049135,-0.041925,0.146854,-0.027016,-0.028489,-0.001225,-0.014082,-0.066092,0.004599,0.104075,-0.035833,0.051711,0.001224
0.045000,0.306669,0.000232,0.486634,0.306723,0.000193,0.486799,0.000054,-0.000039,0.000166,-0.000112,-0.000358,-0.000055,-0.002150,0.002545,-0.005960,0.008850,0.012235,0.000996,0.049529,-0.054782,0.135764,-0.035792,-0.025187,-0.002185,-0.018995,-0.059303,0.005928,0.095587,-0.047315,0.047519,0.002190
0.046000,0.306667,0.000231,0.486628,0.306723,0.000193,0.486799,0.000056,-0.000038,0.000171,-0.000116,-0.000369,-0.000059,-0.002238,0.001656,-0.007123,0.007329,0.014611,0.002292,0.051506,-0.036953,0.159577,-0.029722,-0.029958,-0.004790,-0.016118,-0.071119,0.005618,0.111850,-0.037489,0.054796,0.004790
0.047000,0.306664,0.000232,0.486622,0.306723,0.000193,0.486799,0.000059,-0.000039,0.000178,-0.000118,-0.000383,-0.000062,-0.002073,0.001275,-0.007052,0.004832,0.014427,0.001814,0.048553,-0.029413,0.158799,-0.019741,-0.029621,-0.003845,-0.012872,-0.071002,0.001661,0.110770,-0.025924,0.053771,0.003840
0.048000,0.306662,0.000236,0.486617,0.306723,0.000193,0.486799,0.000061,-0.000043,0.000182,-0.000118,-0.000392,-0.000069,-0.001935,0.001684,-0.006222,0.002890,0.013449,0.002745,0.046025,-0.037963,0.142661,-0.011975,-0.027681,-0.005732,-0.017389,-0.064477,-0.007961,0.100893,-0.019959,0.049887,0.005723
0.049000,0.306660,0.000235,0.486612,0.306723,0.000193,0.486799,0.000063,-0.000042,0.000187,-0.000124,-0.000403,-0.000060,-0.001115,0.000883,-0.004585,0.003545,0.009512,-0.000850,0.029844,-0.021831,0.110435,-0.014616,-0.019830,0.001490,-0.005211,-0.049175,0.004275,0.075762,-0.019206,0.035802,-0.001493
0.050000,0.306658,0.000234,0.486605,0.306723,0.000193,0.486799,0.000065,-0.000041,0.000194,-0.000128,-0.000415,-0.000057,-0.001666,-0.000073,-0.006456,0.002794,0.013547,-0.002008,0.041128,-0.002621,0.148568,-0.011623,-0.027923,0.003816,0.003015,-0.067293,0.010064,0.103296,-0.012169,0.049611,-0.003825
0.051000,0.306656,0.000236,0.486599,0.306723,0.000193,0.486799,0.000067,-0.000043,0.000200,-0.000129,-0.000425,-0.000064,-0.001458,0.000637,-0.006069,0.001833,0.012966,0.001356,0.037177,-0.016993,0.141360,-0.007785,-0.026781,-0.002936,-0.008151,-0.064535,-0.002107,0.098247,-0.011354,0.047011,0.002926
0.052000,0.306653,0.000235,0.486594,0.306723,0.000193,0.486799,0.000070,-0.000042,0.000205,-0.000132,-0.000436,-0.000063,-0.001869,0.000046,-0.004800,0.001130,0.009217,0.000716,0.045774,-0.005096,0.116483,-0.004984,-0.019306,-0.001651,-0.003223,-0.048050,0.000684,0.080132,-0.006051,0.039167,0.001643
0.053000,0.306650,0.000237,0.486589,0.306723,0.000193,0.486799,0.000073,-0.000044,0.000210,-0.000137,-0.000445,-0.000063,-0.002829,0.000153,-0.005283,0.001301,0.008760,-0.000481,0.065365,-0.007500,0.126663,-0.005683,-0.018409,0.000740,-0.001575,-0.047239,0.002084,0.086526,-0.007257,0.043284,-0.000747
0.054000,0.306648,0.000237,0.486583,0.306723,0.000193,0.486799,0.000076,-0.000044,0.000216,-0.000142,-0.000459,-0.000063,-0.002520,0.000103,-0.005691,0.001800,0.010925,-0.000659,0.059462,-0.006415,0.135438,-0.007698,-0.022768,0.001098,-0.000869,-0.055232,0.004130,0.094285,-0.009042,0.047168,-0.001106
0.055000,0.306646,0.000236,0.486579,0.306723,0.000193,0.486799,0.000078,-0.000043,0.000220,-0.000143,-0.000463,-0.000063,-0.002552,-0.000239,-0.004515,0.000224,0.007255,-0.000526,0.060342,0.000465,0.112272,-0.001394,-0.015436,0.000832,0.000963,-0.040612,0.001712,0.076123,-0.001292,0.037993,-0.000840
0.056000,0.306642,0.000239,0.486572,0.306723,0.000193,0.486799,0.000081,-0.000046,0.000227,-0.000147,-0.000477,-0.000066,-0.003518,0.000145,-0.005848,0.000634,0.009602,0.000309,0.080075,-0.007452,0.139655,-0.003051,-0.020158,-0.000852,-0.003155,-0.050701,-0.000894,0.096273,-0.004615,0.049269,0.000842
0.057000,0.306640,0.000239,0.486569,0.306723,0.000193,0.486799,0.000083,-0.000046,0.000231,-0.000151,-0.000483,-0.000068,-0.002883,-0.000367,-0.005338,0.000410,0.009232,-0.000083,0.067599,0.002745,0.129810,-0.002168,-0.019431,-0.000074,0.000760,-0.048889,0.002366,0.089323,-0.001585,0.045054,0.000064
0.058000,0.306637,0.000239,0.486564,0.306723,0.000193,0.486799,0.000086,-0.000046,0.000235,-0.000153,-0.000488,-0.000068,-0.003236,-0.000089,-0.004267,0.000061,0.005444,0.000126,0.075058,-0.002859,0.108843,-0.000782,-0.011864,-0.000490,-0.001383,-0.033678,-0.000744,0.072784,-0.001380,0.037217,0.000483
