time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.041000,0.306690,-0.000018,0.486635,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000042,0.000036,0.000186,-0.000145,-0.000432,0.000077,-0.002306,0.000515,-0.007123,0.000000,0.000000,0.000000,0.002146,0.013754,0.001506,0.027255,-0.001594,0.089805,-0.007946,-0.049434,-0.005041,-0.005519,-0.072928,0.001552,0.095303,-0.008254,0.063049,0.005015
0.042000,0.306686,-0.000017,0.486631,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000046,0.000034,0.000190,-0.000149,-0.000442,0.000075,-0.002473,0.000444,-0.006307,0.000000,0.000000,0.000000,0.001408,0.012272,0.002292,0.029311,-0.000997,0.082056,-0.005376,-0.044275,-0.007797,-0.008089,-0.065032,-0.002018,0.086747,-0.005559,0.057647,0.007772
0.043000,0.306684,-0.000015,0.486623,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000048,0.000032,0.000198,-0.000148,-0.000461,0.000074,-0.002286,0.000936,-0.006872,0.000000,0.000000,0.000000,0.000215,0.014224,0.000979,0.027666,-0.006136,0.088509,-0.001199,-0.051164,-0.003206,-0.005094,-0.074195,-0.003428,0.096476,-0.002466,0.064750,0.003174
0.044000,0.306680,-0.000016,0.486620,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000051,0.000034,0.000201,-0.000149,-0.000465,0.000075,-0.002968,0.000154,-0.005025,0.000000,0.000000,0.000000,0.000111,0.008726,0.000119,0.034821,0.001820,0.070374,-0.000834,-0.031937,-0.000192,0.000365,-0.048190,0.001044,0.069578,-0.000434,0.045441,0.000172
0.045000,0.306678,-0.000014,0.486616,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000054,0.000031,0.000205,-0.000152,-0.000473,0.000066,-0.002310,0.001453,-0.003186,0.000000,0.000000,0.000000,0.005181,0.005213,0.002193,0.028459,-0.011425,0.052380,-0.018590,-0.019662,-0.007475,-0.010979,-0.031349,0.004140,0.048013,-0.020980,0.030261,0.007474
0.046000,0.306675,-0.000015,0.486607,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000057,0.000033,0.000213,-0.000147,-0.000490,0.000070,-0.002385,0.000601,-0.004740,0.000000,0.000000,0.000000,0.003020,0.009339,0.000093,0.029566,-0.002746,0.068750,-0.011011,-0.034158,-0.000116,-0.000959,-0.050740,0.006813,0.070382,-0.011571,0.046417,0.000102
0.047000,0.306673,-0.000016,0.486603,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000059,0.000034,0.000218,-0.000149,-0.000498,0.000075,-0.002463,0.000145,-0.005848,0.000000,0.000000,0.000000,0.003305,0.011451,-0.001708,0.030551,0.001920,0.080298,-0.012014,-0.041575,0.006203,0.006803,-0.061586,0.013524,0.083375,-0.011589,0.055047,-0.006221
0.048000,0.306669,-0.000015,0.486595,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000062,0.000032,0.000226,-0.000149,-0.000512,0.000071,-0.002914,0.000329,-0.005833,0.000000,0.000000,0.000000,0.001548,0.010632,0.000069,0.035370,-0.000041,0.080892,-0.005864,-0.038750,-0.000028,-0.000033,-0.058179,0.004122,0.081435,-0.005851,0.053292,0.000007
0.049000,0.306666,-0.000017,0.486590,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000066,0.000035,0.000231,-0.000149,-0.000524,0.000075,-0.002541,-0.000177,-0.005637,0.000000,0.000000,0.000000,0.001424,0.010869,-0.000494,0.031986,0.005261,0.079425,-0.005430,-0.039614,0.001953,0.003580,-0.059125,0.006952,0.081182,-0.004301,0.053313,-0.001975
0.050000,0.306664,-0.000017,0.486584,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000068,0.000034,0.000237,-0.000147,-0.000539,0.000071,-0.002128,-0.000029,-0.005702,0.000000,0.000000,0.000000,0.000855,0.011505,0.000464,0.028053,0.003731,0.080745,-0.003432,-0.041884,-0.001410,-0.000263,-0.062421,0.002647,0.083578,-0.002624,0.054872,0.001386
