time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.033000,0.306911,-0.000216,0.486512,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000007,0.000126,0.000262,-0.000141,-0.000602,0.000264,0.000611,-0.002776,-0.009943,0.000000,0.000000,0.000000,-0.007356,0.021304,-0.003585,-0.015686,0.118491,0.329845,0.025322,-0.076368,0.013339,0.049685,-0.180373,0.030018,0.229916,0.050237,0.101979,-0.013330
0.034000,0.306910,-0.000215,0.486504,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000007,0.000125,0.000271,-0.000139,-0.000620,0.000259,0.000133,-0.001323,-0.011683,0.000000,0.000000,0.000000,-0.005861,0.027034,0.000442,-0.005993,0.089138,0.368966,0.020098,-0.096479,-0.000770,0.026568,-0.211124,0.014199,0.269717,0.038856,0.127548,0.000788
0.035000,0.306912,-0.000214,0.486495,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000008,0.000124,0.000280,-0.000137,-0.000637,0.000258,0.001589,-0.000153,-0.011756,0.000000,0.000000,0.000000,-0.004868,0.024928,0.002284,-0.035950,0.065289,0.375078,0.016628,-0.089161,-0.007220,0.012805,-0.210281,0.004377,0.261365,0.030369,0.114448,0.007237
0.036000,0.306913,-0.000213,0.486487,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000009,0.000123,0.000287,-0.000136,-0.000651,0.000259,0.001073,0.000164,-0.010480,0.000000,0.000000,0.000000,-0.003113,0.022957,0.001434,-0.026029,0.058271,0.353148,0.010485,-0.082303,-0.004244,0.013639,-0.195072,0.008574,0.245486,0.022750,0.107775,0.004263
0.037000,0.306913,-0.000213,0.486477,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000009,0.000123,0.000298,-0.000137,-0.000675,0.000257,0.000446,0.000615,-0.010493,0.000000,0.000000,0.000000,-0.002525,0.024402,0.003204,-0.013347,0.049298,0.358773,0.008429,-0.087434,-0.010441,0.004691,-0.199987,0.002736,0.254926,0.018816,0.116071,0.010463
0.038000,0.306914,-0.000213,0.486468,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000010,0.000123,0.000307,-0.000136,-0.000692,0.000258,0.000402,-0.000235,-0.012061,0.000000,0.000000,0.000000,-0.001650,0.029370,-0.000393,-0.012996,0.066021,0.394488,0.005366,-0.104872,0.002149,0.022401,-0.228448,0.019187,0.289221,0.019258,0.136702,-0.002119
0.039000,0.306913,-0.000212,0.486457,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000010,0.000122,0.000317,-0.000135,-0.000714,0.000257,0.000911,-0.000124,-0.011716,0.000000,0.000000,0.000000,-0.001622,0.025023,0.000025,-0.022974,0.063642,0.393014,0.005273,-0.089721,0.000684,0.020202,-0.214355,0.017440,0.272100,0.018660,0.119324,-0.000659
0.040000,0.306914,-0.000208,0.486448,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000010,0.000118,0.000326,-0.000133,-0.000730,0.000242,0.000343,0.001235,-0.010539,0.000000,0.000000,0.000000,-0.001745,0.022297,0.004782,-0.011889,0.034360,0.373876,0.005708,-0.080231,-0.016011,-0.005476,-0.197208,-0.004170,0.255057,0.012953,0.110500,0.016032
0.041000,0.306914,-0.000208,0.486440,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000011,0.000118,0.000334,-0.000130,-0.000741,0.000239,0.000458,0.000828,-0.008817,0.000000,0.000000,0.000000,-0.002070,0.018705,0.002913,-0.014418,0.042374,0.343488,0.006854,-0.067689,-0.009479,0.003515,-0.175605,0.002242,0.227867,0.015776,0.094775,0.009496
0.042000,0.306914,-0.000207,0.486429,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000010,0.000117,0.000346,-0.000128,-0.000763,0.000236,0.000212,0.001020,-0.009904,0.000001,0.000000,0.000000,-0.001038,0.022395,0.003486,-0.009312,0.038073,0.370904,0.003249,-0.080670,-0.011490,0.000208,-0.196289,0.002030,0.254433,0.011275,0.111227,0.011514
0.043000,0.306914,-0.000204,0.486423,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000011,0.000114,0.000352,-0.000127,-0.000771,0.000235,0.000077,0.001421,-0.009245,0.000001,0.000000,0.000000,-0.001775,0.021790,0.002763,-0.006802,0.028655,0.360698,0.005830,-0.078579,-0.008966,-0.000175,-0.190640,-0.001109,0.247855,0.011870,0.108774,0.008987
0.044000,0.306915,-0.000202,0.486413,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000011,0.000112,0.000362,-0.000126,-0.000788,0.000226,0.000940,0.001453,-0.009654,0.000001,0.000000,0.000000,-0.001213,0.019659,0.003288,-0.024235,0.026778,0.373882,0.003866,-0.071172,-0.010828,-0.002600,-0.189984,-0.001609,0.244406,0.009509,0.098847,0.010848
0.045000,0.306914,-0.000201,0.486403,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000010,0.000111,0.000372,-0.000121,-0.000808,0.000223,0.000091,0.001423,-0.009154,0.000001,0.000000,0.000000,-0.001426,0.019412,0.003876,-0.006744,0.026859,0.369023,0.004629,-0.070367,-0.012896,-0.004645,-0.184971,-0.003599,0.243594,0.010293,0.101305,0.012915
0.046000,0.306913,-0.000199,0.486396,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000009,0.000108,0.000378,-0.000117,-0.000816,0.000214,0.000349,0.001231,-0.007484,0.000001,0.000000,0.000000,-0.001599,0.011736,0.004474,-0.011515,0.029632,0.338852,0.005247,-0.043524,-0.015015,-0.005920,-0.149501,-0.004655,0.201924,0.011489,0.070822,0.015025
0.047000,0.306913,-0.000196,0.486388,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000009,0.000106,0.000387,-0.000116,-0.000829,0.000199,0.000818,0.001651,-0.006906,0.000001,0.000000,0.000000,-0.001096,0.008639,0.006426,-0.020987,0.019758,0.331447,0.003490,-0.032724,-0.021894,-0.015828,-0.137861,-0.011485,0.186415,0.007660,0.057379,0.021901
0.048000,0.306912,-0.000196,0.486377,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000008,0.000106,0.000398,-0.000115,-0.000850,0.000202,0.001216,0.001720,-0.007131,0.000001,0.000000,0.000000,-0.002482,0.007333,0.004462,-0.028502,0.018531,0.341431,0.008341,-0.028216,-0.015010,-0.009342,-0.137585,-0.010487,0.185639,0.012238,0.052161,0.015012
0.049000,0.306911,-0.000194,0.486371,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000007,0.000104,0.000403,-0.000114,-0.000858,0.000198,0.000359,0.001655,-0.006112,0.000001,0.000000,0.000000,-0.002066,0.007042,0.004155,-0.010569,0.019042,0.323933,0.006890,-0.027220,-0.013947,-0.008121,-0.128407,-0.008547,0.178710,0.010896,0.053414,0.013950
0.050000,0.306910,-0.000191,0.486363,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000006,0.000101,0.000412,-0.000115,-0.000870,0.000195,0.000180,0.002293,-0.006236,0.000001,0.000000,0.000000,-0.001223,0.008078,0.003951,-0.006797,0.004552,0.330670,0.003936,-0.030883,-0.013245,-0.011864,-0.133573,-0.010673,0.186040,0.004894,0.058463,0.013251
0.051000,0.306909,-0.000192,0.486353,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000005,0.000102,0.000422,-0.000113,-0.000884,0.000194,-0.000463,0.001205,-0.006196,0.000001,0.000000,0.000000,-0.001408,0.009310,0.003080,0.006883,0.026843,0.334670,0.004590,-0.035238,-0.010199,-0.001966,-0.137033,-0.001716,0.194046,0.010237,0.066051,0.010206
0.052000,0.306908,-0.000190,0.486343,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000004,0.000100,0.000431,-0.000114,-0.000899,0.000188,-0.000882,0.002316,-0.007985,0.000001,0.000000,0.000000,-0.002501,0.014035,0.005638,0.015500,0.003540,0.375302,0.008414,-0.051821,-0.019167,-0.018111,-0.164865,-0.018386,0.230901,0.009169,0.087997,0.019177
0.053000,0.306907,-0.000189,0.486339,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000004,0.000099,0.000435,-0.000112,-0.000903,0.000183,-0.000818,0.001832,-0.006005,0.000001,0.000000,0.000000,-0.002300,0.010371,0.005605,0.014505,0.012823,0.337777,0.007715,-0.039007,-0.019070,-0.015157,-0.140582,-0.014792,0.200260,0.010424,0.071693,0.019077
0.054000,0.306905,-0.000188,0.486331,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000001,0.000098,0.000443,-0.000110,-0.000915,0.000181,-0.001691,0.001381,-0.007320,0.000001,0.000000,0.000000,-0.002153,0.013568,0.003757,0.033321,0.021376,0.368105,0.007205,-0.050233,-0.012606,-0.006062,-0.158270,-0.007071,0.228220,0.011707,0.089539,0.012616
