time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.039000,0.306770,-0.000069,0.486635,0.306803,0.000002,0.486776,0.000033,0.000071,0.000142,-0.000173,-0.000297,0.000140,-0.001960,0.000131,-0.005957,-0.000000,0.013607,0.001985,0.043154,0.004449,0.133310,-0.000607,-0.027808,-0.003481,-0.002108,-0.062181,-0.000563,0.096258,0.000355,0.048601,0.003464
0.040000,0.306767,-0.000067,0.486630,0.306803,0.000002,0.486776,0.000036,0.000069,0.000146,-0.000171,-0.000306,0.000137,-0.001998,0.000378,-0.005440,-0.000554,0.011751,0.005720,0.044269,-0.000611,0.123399,0.001615,-0.024115,-0.010962,-0.011147,-0.055253,-0.009079,0.088031,0.001512,0.044278,0.010947
0.041000,0.306766,-0.000064,0.486623,0.306803,0.000002,0.486776,0.000037,0.000066,0.000153,-0.000166,-0.000321,0.000128,-0.001968,0.001261,-0.006521,-0.002025,0.014188,0.006733,0.043841,-0.018582,0.145776,0.007518,-0.029017,-0.013017,-0.018728,-0.067144,-0.020572,0.103443,0.003635,0.051052,0.012998
0.042000,0.306765,-0.000065,0.486620,0.306803,0.000002,0.486776,0.000039,0.000068,0.000157,-0.000168,-0.000326,0.000129,-0.001382,0.000417,-0.004026,-0.000776,0.008545,0.004225,0.032276,-0.001591,0.096196,0.002516,-0.017742,-0.007998,-0.008483,-0.042341,-0.007940,0.067281,0.002201,0.032991,0.007987
0.043000,0.306763,-0.000063,0.486612,0.306803,0.000002,0.486776,0.000040,0.000065,0.000164,-0.000165,-0.000340,0.000124,-0.001350,0.001071,-0.005171,-0.001334,0.010775,0.004764,0.031843,-0.014911,0.119825,0.004757,-0.022232,-0.009094,-0.013664,-0.054189,-0.014629,0.082871,0.001643,0.039463,0.009079
0.044000,0.306761,-0.000061,0.486608,0.306803,0.000002,0.486776,0.000042,0.000063,0.000168,-0.000166,-0.000348,0.000117,-0.001797,0.001546,-0.006176,-0.000590,0.012734,0.005640,0.040982,-0.024650,0.140344,0.001780,-0.026165,-0.010871,-0.018432,-0.063047,-0.016953,0.097661,-0.003379,0.047121,0.010855
0.045000,0.306759,-0.000060,0.486602,0.306803,0.000002,0.486776,0.000045,0.000062,0.000174,-0.000163,-0.000359,0.000111,-0.001809,0.001198,-0.005877,-0.001473,0.012020,0.005908,0.041532,-0.017761,0.134946,0.005322,-0.024758,-0.011428,-0.016885,-0.059886,-0.017628,0.093774,0.001610,0.045357,0.011411
0.046000,0.306756,-0.000056,0.486596,0.306803,0.000002,0.486776,0.000047,0.000058,0.000180,-0.000168,-0.000374,0.000105,-0.001834,0.002638,-0.006200,0.004395,0.013651,0.005365,0.042319,-0.046933,0.142036,-0.018166,-0.028049,-0.010364,-0.024763,-0.065246,-0.009740,0.100525,-0.028014,0.049439,0.010354
0.047000,0.306754,-0.000053,0.486592,0.306803,0.000002,0.486776,0.000050,0.000055,0.000185,-0.000165,-0.000380,0.000093,-0.001820,0.002812,-0.005521,0.003166,0.011456,0.007415,0.042344,-0.050683,0.128891,-0.013241,-0.023672,-0.014506,-0.030068,-0.056809,-0.017399,0.089944,-0.023880,0.043916,0.014497
0.048000,0.306753,-0.000052,0.486586,0.306803,0.000002,0.486776,0.000050,0.000054,0.000190,-0.000168,-0.000392,0.000087,-0.001109,0.002346,-0.004266,0.003701,0.009266,0.005715,0.028231,-0.041488,0.104310,-0.015395,-0.019316,-0.011126,-0.023849,-0.047042,-0.010458,0.072179,-0.024102,0.034431,0.011121
